Fecha,Red,Token,Par,Router,Factory,Reserva,LiquidezToken,LiquidezBase
2025-12-15 05:27:20,polygonAmoy,0x8cA0cF57270e048Fc99C3CbFC59Aae1AE03AD1f1,0x0000000000000000000000000000000000000000,0xa5E0829CaCEd8fFDD4De3c43696c57F7D7A678ff,0x5757371414417b8C6CAad45bAeF941aBc7d3Ab32,35,1000000,5
2025-12-15 05:49:37,polygonAmoy,0xE75eade474F512D63f07f8112FF8929c4a672A48,0x0000000000000000000000000000000000000000,0xa5E0829CaCEd8fFDD4De3c43696c57F7D7A678ff,0x5757371414417b8C6CAad45bAeF941aBc7d3Ab32,35,1000000,5
2025-12-15 05:52:11,polygonAmoy,0xA906B9eFCb72A723F5765204f222B2eC1092D38a,0x0000000000000000000000000000000000000000,0xa5E0829CaCEd8fFDD4De3c43696c57F7D7A678ff,0x5757371414417b8C6CAad45bAeF941aBc7d3Ab32,35,1000000,5
